GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
"Population","Share","Children of Immigrants, Share",0,"Akron, OH",10420,.04683841,.04198324,.05453055,.0689218,.06983498,.0755552,.08068683,.06744635,.05741023,.07344877,.06975543,.0746553,.09279072,.09067055,.08451056
"Population","Share","Children of Immigrants, Share",0,"Albany-Schenectady-Troy, NY",10580,.09422573,.10366791,.10838755,.11426691,.11840359,.11802928,.11297254,.12764823,.13839269,.13716455,.13533808,.14043787,.15036322,.14522864,.15701877
"Population","Share","Children of Immigrants, Share",0,"Albuquerque, NM",10740,.2010619,.20961113,.20005235,.21740915,.22968198,.21272673,.20228837,.23250286,.23685457,.21890542,.21346262,.17428657,.16317245,.18573645,.17648566
"Population","Share","Children of Immigrants, Share",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.12752676,.14846399,.14883272,.14352892,.15121546,.17711186,.1696146,.14336674,.14610252,.15939997,.17880423,.18027274,.20399123,.21747716,.19218203
"Population","Share","Children of Immigrants, Share",0,"Atlanta-Sandy Springs-Roswell, GA",12060,.20453797,.21025257,.22240023,.23835148,.24578574,.24563853,.25093478,.25390157,.26121682,.27219859,.26964208,.27323934,.27540678,.27234593,.27690664
"Population","Share","Children of Immigrants, Share",0,"Augusta-Richmond County, GA-SC",12260,.05569778,.06250174,.05273655,.05001134,.0647193,.07499402,.0776824,.07726444,.08727803,.08319806,.07172223,.06810705,.06346811,.06772689,.06527702
"Population","Share","Children of Immigrants, Share",0,"Austin-Round Rock, TX",12420,.26522523,.27249032,.27543065,.28827783,.29734704,.30168599,.30832243,.31086165,.3222577,.32946137,.32113802,.3198249,.31731799,.31935129,.30903769
"Population","Share","Children of Immigrants, Share",0,"Bakersfield, CA",12540,.40122166,.4150399,.40732563,.42057818,.43392828,.41980383,.43502301,.44516012,.41438627,.42034793,.43254906,.40539095,.38384679,.39996406,.4211233
"Population","Share","Children of Immigrants, Share",0,"Baltimore-Columbia-Towson, MD",12580,.10777877,.11946058,.1295225,.13996388,.1567788,.16051228,.15646879,.15729171,.1693695,.19319659,.19909966,.20286749,.20818232,.20751512,.20445983
"Population","Share","Children of Immigrants, Share",0,"Baton Rouge, LA",12940,.04144423,.04378921,.04626541,.04687845,.04646616,.05273575,.06764842,.06733046,.05678814,.05352839,.05955291,.07357189,.08053037,.07724313,.07054554
"Population","Share","Children of Immigrants, Share",0,"Birmingham-Hoover, AL",13820,.05272511,.05205263,.05864253,.07724185,.09050445,.09039286,.08751898,.07597032,.0728384,.08029777,.08797619,.09055673,.08253747,.07610117,.06994579
"Population","Share","Children of Immigrants, Share",0,"Boise City, ID",14260,.13181478,.13853712,.15648754,.15889129,.15244862,.15479793,.15686293,.15108313,.14944594,.14682849,.13545503,.12324227,.13983908,.14554651,.14859731
"Population","Share","Children of Immigrants, Share",0,"Boston-Cambridge-Newton, MA-NH",14460,.24817182,.25059849,.26232308,.27090794,.28004885,.28482187,.28671747,.30140278,.30980384,.31530789,.32195351,.32032996,.33360466,.34520268,.33548382
"Population","Share","Children of Immigrants, Share",0,"Bridgeport-Stamford-Norwalk, CT",14860,.28181082,.30260792,.32895964,.32923126,.32317969,.33114198,.32816073,.32903117,.33866969,.35855475,.38473263,.40393019,.39893577,.39316738,.40208754
"Population","Share","Children of Immigrants, Share",0,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,.06316509,.06938387,.06536159,.07786688,.09162109,.0945477,.09260137,.09846416,.11041024,.11659868,.12039087,.11352545,.11858635,.12063941,.13741307
"Population","Share","Children of Immigrants, Share",0,"Cape Coral-Fort Myers, FL",15980,.28351861,.29231861,.29575655,.29959884,.31077206,.31705534,.30303636,.30324727,.32205632,.34872821,.33444592,.32939792,.364728,.35426486,.3211455
"Population","Share","Children of Immigrants, Share",0,"Charleston-North Charleston, SC",16700,.06469627,.07337574,.07750671,.08131694,.10332087,.09956631,.07903615,.08345845,.09930659,.11570394,.1121572,.09654709,.10576011,.12867774,.13278173
"Population","Share","Children of Immigrants, Share",0,"Charlotte-Concord-Gastonia, NC-SC",16740,.14182644,.14607279,.16238424,.18431507,.18191308,.17798766,.18576638,.1966594,.19936904,.19679907,.20664622,.2072901,.20443346,.2137417,.23510943
"Population","Share","Children of Immigrants, Share",0,"Chattanooga, TN-GA",16860,.05493322,.05238983,.06831096,.08199339,.07661165,.07560518,.07479975,.06966273,.07966704,.09534525,.10695664,.10897843,.10893421,.10720667,.10806125
"Population","Share","Children of Immigrants, Share",0,"Chicago-Naperville-Elgin, IL-IN-WI",16980,.29210687,.30021662,.30179375,.30904815,.31349641,.32268679,.32830411,.32676488,.32391411,.32522315,.32507679,.3289687,.33612511,.3257708,.31978643
"Population","Share","Children of Immigrants, Share",0,"Cincinnati, OH-KY-IN",17140,.05407409,.055098,.05402736,.06443152,.07310237,.0688394,.06863917,.07786331,.08412553,.07736266,.07654157,.08555994,.09705294,.10041855,.09754492
"Population","Share","Children of Immigrants, Share",0,"Cleveland-Elyria, OH",17460,.07191237,.07485325,.08027741,.08376313,.08027229,.08210394,.08136111,.07706589,.07921227,.08140197,.08957844,.09756237,.09746095,.09978075,.09661719
"Population","Share","Children of Immigrants, Share",0,"Colorado Springs, CO",17820,.13614939,.12519205,.12835202,.13893133,.14074497,.13763909,.13244277,.13453147,.13826559,.14265488,.13481507,.12885681,.15114617,.13678381,.14444304
"Population","Share","Children of Immigrants, Share",0,"Columbia, SC",17900,.05844762,.07547014,.08341235,.08373626,.08554411,.07962605,.08574892,.08629928,.09385883,.09464269,.09054533,.09636944,.09723523,.10876162,.11091084
"Population","Share","Children of Immigrants, Share",0,"Columbus, OH",18140,.09221693,.09484136,.10381445,.112077,.12367691,.12430573,.1320723,.14856943,.14700076,.15203901,.15088287,.15162033,.16775048,.18049514,.18493876
"Population","Share","Children of Immigrants, Share",0,"Dallas-Fort Worth-Arlington, TX",19100,.3239156,.32922965,.33279335,.34655333,.35463926,.35486466,.3600117,.36162838,.36490867,.36867979,.37060198,.37599546,.37845045,.37479481,.3596791
"Population","Share","Children of Immigrants, Share",0,"Dayton, OH",19380,.03835426,.03653929,.05441022,.06247684,.0698174,.06854656,.0562364,.06140213,.06877128,.07464326,.07062656,.07580588,.0760122,.06529569,.07888582
